container_id,field,stub_name,kind,key,rtype,value,expression,line_no,time,extra
5317451456,,__AS__,LIST_ITEM,5317939488,NoneType,5285641392,,28,28,
5318106112,todo,__AS__,DICT_ITEM,5317936368,"str, list",5317451520,5317779264[todo] = 5317451520,28,28,
5318106112,summaries,__AS__,DICT_ITEM,5317936224,"str, list",5317451456,5317779264[summaries] = 5317451456,28,28,
5317946640,server,__AS__,OBJ_ITEM,5317940352,Server,5318106112,self.server,28,28,
5317946640,ongoing,__AS__,OBJ_ITEM,5317943232,NoneType,,self.ongoing,29,29,
5313231424,Worker.__init__,__UNDEF__,VAR,5317949904,function,Worker.__init__,Worker.__init__,29,30,
5317451520,,__AS__,LIST_ITEM,5317940256,NoneType,5285641392,,82,31,
5317451456,,__AS__,LIST_ITEM,5317950672,NoneType,5285641392,,82,31,
5318106112,todo,__AS__,DICT_ITEM,5317947408,"str, list",5317451520,5317779264[todo] = 5317451520,82,31,
5318106112,summaries,__AS__,DICT_ITEM,5317935744,"str, list",5317451456,5317779264[summaries] = 5317451456,82,31,
5317463392,VisualWorker,__FC__,FUNCTION_CALL,5317395120,VisualWorker,5317946640,VisualWorker,82,31,<listcomp>@130
5317946640,server,__AS__,DICT_ITEM,5317406064,"str, Server",5318106112,5317786112[server] = 5318106112,82,31,
5317946640,ongoing,__AS__,DICT_ITEM,5317937952,"str, NoneType",,5317786112[ongoing] = None,82,31,
5313231424,Worker.__init__,__DEF__,VAR,5317938096,function,Worker.__init__,Worker.__init__,27,32,
5313231424,self,__AS__,VAR,5317951104,AllTypesWorker,5317950288,self,27,33,
5313231424,server,__AS__,VAR,5317405680,Server,5318106112,server,27,33,
5317451520,,__AS__,LIST_ITEM,5317394880,NoneType,5285641392,,28,34,
5317451456,,__AS__,LIST_ITEM,5317942272,NoneType,5285641392,,28,34,
5318106112,todo,__AS__,DICT_ITEM,5317406208,"str, list",5317451520,5317779264[todo] = 5317451520,28,34,
5318106112,summaries,__AS__,DICT_ITEM,5317399968,"str, list",5317451456,5317779264[summaries] = 5317451456,28,34,
5317950288,server,__AS__,OBJ_ITEM,5317405392,Server,5318106112,self.server,28,34,
5317950288,ongoing,__AS__,OBJ_ITEM,5317940928,NoneType,,self.ongoing,29,35,
5313231424,Worker.__init__,__UNDEF__,VAR,5317938336,function,Worker.__init__,Worker.__init__,29,36,
5317451520,,__AS__,LIST_ITEM,5317399776,NoneType,5285641392,,82,37,
5317451456,,__AS__,LIST_ITEM,5317402992,NoneType,5285641392,,82,37,
5318106112,todo,__AS__,DICT_ITEM,5317395072,"str, list",5317451520,5317779264[todo] = 5317451520,82,37,
5318106112,summaries,__AS__,DICT_ITEM,5317408080,"str, list",5317451456,5317779264[summaries] = 5317451456,82,37,
5317463392,AllTypesWorker,__FC__,FUNCTION_CALL,5317937904,AllTypesWorker,5317950288,AllTypesWorker,82,37,<listcomp>@130
5317950288,server,__AS__,DICT_ITEM,5317399536,"str, Server",5318106112,5317745024[server] = 5318106112,82,37,
5317950288,ongoing,__AS__,DICT_ITEM,5317396128,"str, NoneType",,5317745024[ongoing] = None,82,37,
5317451520,,__AS__,LIST_ITEM,5318105200,NoneType,5285641392,,82,38,
5317451456,,__AS__,LIST_ITEM,5318114656,NoneType,5285641392,,82,38,
5318106112,todo,__AS__,DICT_ITEM,5318114272,"str, list",5317451520,5317779264[todo] = 5317451520,82,38,
5318106112,summaries,__AS__,DICT_ITEM,5318100016,"str, list",5317451456,5317779264[summaries] = 5317451456,82,38,
5318108464,server,__AS__,DICT_ITEM,5318101744,"str, Server",5318106112,5317780224[server] = 5318106112,82,38,
5318108464,ongoing,__AS__,DICT_ITEM,5317939104,"str, NoneType",,5317780224[ongoing] = None,82,38,
5317948656,server,__AS__,DICT_ITEM,5317943184,"str, Server",5318106112,5317774144[server] = 5318106112,82,38,
5317948656,ongoing,__AS__,DICT_ITEM,5317935648,"str, NoneType",,5317774144[ongoing] = None,82,38,
5317946640,server,__AS__,DICT_ITEM,5317950816,"str, Server",5318106112,5317786112[server] = 5318106112,82,38,
5317946640,ongoing,__AS__,DICT_ITEM,5317408224,"str, NoneType",,5317786112[ongoing] = None,82,38,
5317950288,server,__AS__,DICT_ITEM,5318109136,"str, Server",5318106112,5317745024[server] = 5318106112,82,38,
5317950288,ongoing,__AS__,DICT_ITEM,5318110816,"str, NoneType",,5317745024[ongoing] = None,82,38,
5302709456,workers,__AS__,VAR,5317407072,list,5317518784,workers,82,38,
5317518784,0,__AS__,LIST_ITEM,5317401360,TimelessWorker,5318108464,<class 'list'>[0],82,38,
5317518784,1,__AS__,LIST_ITEM,5317941744,PlayableWorker,5317948656,<class 'list'>[1],82,38,
5317518784,2,__AS__,LIST_ITEM,5317937808,VisualWorker,5317946640,<class 'list'>[2],82,38,
5317518784,3,__AS__,LIST_ITEM,5317935168,AllTypesWorker,5317950288,<class 'list'>[3],82,38,
5302709456,range,__FC__,FUNCTION_CALL,5317936896,range,5318103168,range,83,39,main@132
4562293008,list,__FC__,FUNCTION_CALL,5318103904,list,5317522624,list,83,40,<listcomp>@132
5317522624,0,__AS__,LIST_ITEM,5318110192,Type,5318114464,<class 'list'>[0],83,40,
5318114464,_value_,__AS__,DICT_ITEM,5317944960,"str, int",0,5317981888[_value_] = 0,83,40,
5318114464,_name_,__AS__,DICT_ITEM,5317397520,"str, str",TEXT,5317981888[_name_] = TEXT,83,40,
5318114464,__objclass__,__AS__,DICT_ITEM,5317401648,"str, EnumMeta",4562338320,5317981888[__objclass__] = 4562338320,83,40,
5317522624,1,__AS__,LIST_ITEM,5317402656,Type,5318110432,<class 'list'>[1],83,40,
5318110432,_value_,__AS__,DICT_ITEM,5317408272,"str, int",1,5317979392[_value_] = 1,83,40,
5318110432,_name_,__AS__,DICT_ITEM,5317405824,"str, str",IMAGE,5317979392[_name_] = IMAGE,83,40,
5318110432,__objclass__,__AS__,DICT_ITEM,5317950720,"str, EnumMeta",4562338320,5317979392[__objclass__] = 4562338320,83,40,
5317522624,2,__AS__,LIST_ITEM,5317945536,Type,5318109232,<class 'list'>[2],83,40,
5318109232,_value_,__AS__,DICT_ITEM,5318100352,"str, int",2,5317981120[_value_] = 2,83,40,
5318109232,_name_,__AS__,DICT_ITEM,5317939392,"str, str",AUDIO,5317981120[_name_] = AUDIO,83,40,
5318109232,__objclass__,__AS__,DICT_ITEM,5317944432,"str, EnumMeta",4562338320,5317981120[__objclass__] = 4562338320,83,40,
5317522624,3,__AS__,LIST_ITEM,5317404096,Type,5318108656,<class 'list'>[3],83,40,
5318108656,_value_,__AS__,DICT_ITEM,5317397136,"str, int",3,5317981952[_value_] = 3,83,40,
5318108656,_name_,__AS__,DICT_ITEM,5317408608,"str, str",VIDEO,5317981952[_name_] = VIDEO,83,40,
5318108656,__objclass__,__AS__,DICT_ITEM,5317410240,"str, EnumMeta",4562338320,5317981952[__objclass__] = 4562338320,83,40,
5313230496,__init__,__DEF__,VAR,5317403856,function,__init__,__init__,15,41,
1337,self,__PIS__,VAR,5317395936,Job,5318112400,self,15,42,
5313230496,self,__AS__,VAR,5317409520,Job,5318112400,self,15,43,
5313230496,id,__AS__,VAR,5317408032,int,0,id,15,43,
5313230496,_type,__AS__,VAR,5318112976,Type,5318108656,_type,15,43,
5318112400,id,__AS__,OBJ_ITEM,5317365280,int,0,self.id,16,44,
5318112400,type,__AS__,OBJ_ITEM,5317946880,str,VIDEO,self.type,17,45,
5313230496,__init__,__UNDEF__,VAR,5317366672,function,__init__,__init__,17,46,
4562293008,Job,__FC__,FUNCTION_CALL,5317362352,Job,5318112400,Job,83,47,<listcomp>@132
5318112400,id,__AS__,DICT_ITEM,5317376080,"str, int",0,5317458432[id] = 0,83,47,
5318112400,type,__AS__,DICT_ITEM,5317396032,"str, str",VIDEO,5317458432[type] = VIDEO,83,47,
4562293008,list,__FC__,FUNCTION_CALL,5317402368,list,5317519424,list,83,48,<listcomp>@132
5318114464,_value_,__AS__,DICT_ITEM,5317401840,"str, int",0,5317981888[_value_] = 0,83,48,
5318114464,_name_,__AS__,DICT_ITEM,5317404192,"str, str",TEXT,5317981888[_name_] = TEXT,83,48,
5318114464,__objclass__,__AS__,DICT_ITEM,5317946304,"str, EnumMeta",4562338320,5317981888[__objclass__] = 4562338320,83,48,
5318110432,_value_,__AS__,DICT_ITEM,5317941648,"str, int",1,5317979392[_value_] = 1,83,48,
5318110432,_name_,__AS__,DICT_ITEM,5318100064,"str, str",IMAGE,5317979392[_name_] = IMAGE,83,48,
5318110432,__objclass__,__AS__,DICT_ITEM,5317376416,"str, EnumMeta",4562338320,5317979392[__objclass__] = 4562338320,83,48,
5318109232,_value_,__AS__,DICT_ITEM,5317406160,"str, int",2,5317981120[_value_] = 2,83,48,
5318109232,_name_,__AS__,DICT_ITEM,5317396752,"str, str",AUDIO,5317981120[_name_] = AUDIO,83,48,
5318109232,__objclass__,__AS__,DICT_ITEM,5317409808,"str, EnumMeta",4562338320,5317981120[__objclass__] = 4562338320,83,48,
5318108656,_value_,__AS__,DICT_ITEM,5317397712,"str, int",3,5317981952[_value_] = 3,83,48,
5318108656,_name_,__AS__,DICT_ITEM,5317122688,"str, str",VIDEO,5317981952[_name_] = VIDEO,83,48,
5318108656,__objclass__,__AS__,DICT_ITEM,5317124512,"str, EnumMeta",4562338320,5317981952[__objclass__] = 4562338320,83,48,
5317519424,0,__AS__,LIST_ITEM,5317398960,Type,5318114464,<class 'list'>[0],83,48,
5317519424,1,__AS__,LIST_ITEM,5317938816,Type,5318110432,<class 'list'>[1],83,48,
5317519424,2,__AS__,LIST_ITEM,5317362592,Type,5318109232,<class 'list'>[2],83,48,
5317519424,3,__AS__,LIST_ITEM,5317401456,Type,5318108656,<class 'list'>[3],83,48,
5313230496,__init__,__DEF__,VAR,5317940736,function,__init__,__init__,15,49,
1337,self,__PIS__,VAR,5317951008,Job,5317410720,self,15,50,
5313230496,self,__AS__,VAR,5317397472,Job,5317410720,self,15,51,
5313230496,id,__AS__,VAR,5317363312,int,1,id,15,51,
5313230496,_type,__AS__,VAR,5317377664,Type,5318108656,_type,15,51,
5317410720,id,__AS__,OBJ_ITEM,5317409760,int,1,self.id,16,52,
5317410720,type,__AS__,OBJ_ITEM,5317125760,str,VIDEO,self.type,17,53,
5313230496,__init__,__UNDEF__,VAR,5317124992,function,__init__,__init__,17,54,
4562293008,Job,__FC__,FUNCTION_CALL,5317127008,Job,5317410720,Job,83,55,<listcomp>@132
5317410720,id,__AS__,DICT_ITEM,5317127728,"str, int",1,5317452224[id] = 1,83,55,
